"","x"
"UBTD2",1.50970471622191
"CTSD",1.1776211420503
"IGSF3",1.81823815712764
"TNFRSF1B",1.08048225669748
"EAF1",-1.21737347817519
"STAC2",2.68532114355253
"TIPARP",-0.931157827238903
"ZKSCAN5",-0.989805100414414
"IGIP",1.10080909809657
"NFIX",0.975833210629862
"MTA2",-1.02265190731953
"TENM2",1.29122362026275
"CPQ",1.97340366998979
"PTPRG",1.54257632600545
"BRD2",-1.77453983203685
"SLC16A2",1.01102406048544
"ARID2",0.775013489839183
"BCL2L11",1.21301024335552
"B3GNT2",-1.04015113118858
"KCNAB2",1.69130168215328
"NDRG4",1.55612129520134
"PERP",0.950682476894389
"GOT1",-2.27303299732348
"EIF4E",-0.785370902254592
"SNED1",2.28656106173432
"PSMG3",-1.28951982273121
"NUP93",-0.857836478695351
"SLC27A1",1.66475219783877
"PSME3",-0.831420089598503
"MTF2",-0.724197809717809
"SF3A1",-0.971705793228949
"PIGX",0.918996182896465
"ID4",1.78207275950136
"SLC7A5",-0.647465674560327
"GDE1",1.21872267184949
"TPCN1",1.04290407573178
"ALKBH7",1.50217106499114
"C21orf91",-1.08982335717737
"DPF2",-0.776762572421262
"MAVS",1.13733160634938
"ZNF649",-1.52079964445543
"ALDH6A1",1.59936456886106
"TCEAL7",-2.21565320864377
"MYC",-2.58606302067029
"R3HDM2",0.886047895560328
"L3MBTL3",1.45326661840829
"PAMR1",1.85571572664559
"AAR2",-1.14727551510511
"KIAA1958",1.02705626347357
"TCEAL8",1.07800324527376
"SLC48A1",1.43568905936096
"TMEM39A",1.02965861676232
"VPS37C",-1.02545488459258
"BST1",1.72295509896994
"MRPL9",-1.10944732016325
"SLC7A1",-1.41904295061195
"STON1",2.10750065259841
"DYNLT3",1.05957990914297
"SYT11",0.945608512784089
"SOD2",0.759014710976683
"RGS3",-0.918539836265582
"RPGRIP1L",0.758340680976458
"SLC45A3",-2.43471712992161
"C11orf54",0.981185212556935
"OTUD4",-0.664022563264802
"NLGN3",-2.03970065208238
"OPHN1",1.19966455410016
"CD9",1.40822389996551
"IGFBP7",1.15306900212513
"UBA7",1.30026927381811
"CDC6",-2.7690258069125
"MDH1B",2.05739443862515
"IGHMBP2",-1.30096889048041
"KDELR1",0.858857235236488
"MYH10",0.74497455755068
"PTPRS",0.962651499692281
"BRIP1",-1.48567125585346
"COBL",-2.00837882973538
"BTN3A2",1.71862351429587
"DKK3",1.58760158091371
"TMUB2",0.951039576637449
"PIEZO1",-0.944403905594158
"TOGARAM1",-1.20148083899701
"SAMD4B",0.98151645744544
"SAT1",0.890338146289925
"CHKA",-0.793119908670592
"RRAS2",-1.45070722135736
"RAD51AP1",-1.82434955557871
"PLRG1",-0.910258706037865
"PLAGL1",1.33713792594256
"SEMA3C",1.08630100813463
"AP5B1",-0.892104188146131
"SUGT1",0.881863743679401
"CYREN",-0.768478851935772
"DPYD",0.951120654328519
"CAPN15",-1.16636146110443
"TTC39B",1.04208442079914
"ASPHD2",-1.78377724274747
"SERF2",1.1681778904169
"TRIQK",1.84194319890695
"ST3GAL5",1.04495776389542
"PHF5A",-1.02176724972647
"DHX15",-1.00971459377003
"RAB38",-1.24478282885618
"GORASP1",-0.715007528399275
"OLA1",-1.0828588838423
"NOP14",-1.29157995260784
"VWA1",3.01229070817242
"ITGBL1",1.00168990060336
"KMT2B",-1.66047982336828
"MLLT11",1.55356650160523
"PGBD1",-1.05844175934843
"TAF13",-1.23178530986766
"SCAF8",-0.622988527283781
"KIAA0232",0.858642145701486
"MRPS10",-0.885285748547176
"LAMB3",-1.29879626739935
"HIST1H2AB",-2.39049690673686
"EXOSC2",-0.788979264959166
"ABL2",-2.81449306311579
"CALR",1.0145858023393
"WDR6",0.94897391017954
"METAP2",-1.01076581539192
"RABEP1",-0.6662218232598
"NATD1",1.31919527580527
"MSI2",1.89047040555681
"BCO1",1.36619575582076
"CDK19",1.31510804504559
"SLU7",-0.768661478587734
"ZNF777",-1.48974521768566
"GTF2H1",-1.10622521711195
"TMEM230",1.3874662131714
"ITM2B",0.989309279243825
"ZNF563",-1.54640706749295
"H2AFV",0.876449290876901
"SLC4A1AP",-1.01645814343294
"CNN2",0.765952729658713
"ATM",1.1651260263803
"EPHA3",3.11954542768731
"CCND1",-1.72270447521726
"BCL10",-1.28289926954594
"RNASEL",1.14511002512633
"IGDCC4",1.46627515981129
"GOLGA2",0.804885332586445
"HIVEP2",-1.80561682471926
"SLC22A1",-3.59434767112842
"ZSWIM6",-0.970475816656741
"TM4SF4",-4.18535051744523
"STK17A",-0.983471724524468
"DUSP12",-1.30577988775969
"MPP6",0.682097357936205
"FAM222B",0.887673228794795
"SLC25A45",1.57370332861657
"ATP6V1H",-1.30929406943376
"FGD6",1.47376037666578
"ANXA4",1.21463180190262
"ATP6AP2",0.900773801447684
"NRSN2",1.65817694273772
"NUPR1",-1.02346410811866
"C2CD5",0.779238842713334
"LMBR1",0.871268965808787
"SBF2",1.09383660537453
"USP31",-1.04975930094872
"DDX28",-1.24590806319772
"RIOK1",-1.34362875942978
"GSTM2",2.16190083818248
"MBTPS1",1.17767978290758
"IDH1",0.927817859559041
